Name	TPM
YLR154C-G_mRNA	356897.843521
YNL244C_mRNA	70.352114
YCR024C-A_mRNA	693.529227
YHL001W_mRNA	150.259326
YLL045C_mRNA	100.580158
YDL136W_mRNA	111.395652
YDR366C_mRNA	64.215165
YOR096W_mRNA	232.471709
YLR395C_mRNA	55.704759
YPR002C-A_mRNA	160.107827
YPR170W-B_mRNA	63.151138
YHR054W-A_mRNA	1195.341956
YIL069C_mRNA	131.533155
YBR191W_mRNA	178.302567
YKL060C_mRNA	428.347916
YJL205C_mRNA	52.428009
YHR143W-A_mRNA	149.340388
YNL135C_mRNA	113.776060
YPR133W-A_mRNA	206.799367
YER165W_mRNA	70.413426
YMR186W_mRNA	126.976328
YNL285W_mRNA	147.349381
YPR102C_mRNA	207.609795
YGL030W_mRNA	717.529220
YFL010W-A_mRNA	54.668270
YBR058C-A_mRNA	58.253343
YLL024C_mRNA	67.778513
YDR034C-A_mRNA	352.282017
YCR012W_mRNA	309.518706
YPL079W_mRNA	149.425146
YDR461W_mRNA	262.140043
YLR062C_mRNA	125.875944
YLR038C_mRNA	78.225918
YHR010W_mRNA	246.941393
YDL067C_mRNA	237.174325
YLR162W_mRNA	3537.957235
YLR076C_mRNA	335.866157
YER074W-A_mRNA	51.668182
YJR104C_mRNA	116.967294
YBL107W-A_mRNA	51.404712
YDR154C_mRNA	258.176840
YHR193C_mRNA	74.028348
YEL053W-A_mRNA	119.941313
YGL135W_mRNA	135.055846
YLR061W_mRNA	149.480572
YOL121C_mRNA	125.687136
YJR123W_mRNA	545.740618
YNL096C_mRNA	83.074999
YMR251W-A_mRNA	232.181181
YIL148W_mRNA	247.636532
YOL086C_mRNA	426.323965
YCR013C_mRNA	133.791502
YMR230W_mRNA	185.810749
YLR154W-A_mRNA	83429.785808
YHR053C_mRNA	51.136030
YER074W_mRNA	299.101935
YOR045W_mRNA	220.634536
YER087C-B_mRNA	110.098818
YLR162W-A_mRNA	74.924962
YDR445C_mRNA	71.383226
YGL031C_mRNA	177.966276
YOL040C_mRNA	198.171741
YFR010W-A_mRNA	50.243006
YPL249C-A_mRNA	1205.582632
YLR043C_mRNA	142.581992
YLR441C_mRNA	171.961956
YGL147C_mRNA	150.786781
YLR355C_mRNA	86.357632
YDL130W_mRNA	431.904115
YMR194W_mRNA	268.121030
YLR154W-E_mRNA	129453.491348
YPR163C_mRNA	50.710091
YOR277C_mRNA	62.442020
YLR287C-A_mRNA	1718.654875
YER117W_mRNA	279.205141
YML024W_mRNA	275.873997
